psraid,sample,segment,int_date,lang,comp,version,stz,scregion,sstate,susr,stimes,filtera,filterb,filterc.1,filterc.2,llitext0,qs1,q1,q2,qp1,sex,qm1,qm2,q2x,qp1a,chage1,chsex,chage2,chage3,chage4,chage5,qp2,q3,q4,qe3,q7,q8,q12,q15,q21a,q21b,q21c,q21d,q21e,q22,q23a,q23b,q23c,q23d,q23e,q24,q29a,q29b,q29c,q29d,q30,q31,q33,q34,q35a,q35b,q35c,q35d,q35e,qe5,q40,q41am1,q41am2,q41am3,q41c,q42m1,q42m2,q42m3,q42m4,q43,q44a,q44b,q44c,q49a,q49b,q49c,q49d,q49e,q50,q52,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,q57,q58,q62,q63,q65a,q65b,q65c,q67a,q67b,q68a,q68b,q68c,q68d,q68e,q7486ord,q74a,q74b,q74c,q77,q79,q80,q81a,q81b,q81c,q86a,q86b,q86c,q86d,q86e,q86f,q86g,q90,q92a,q92b,q93,q94a,q94b,q94c,age,qm3,fam3a,fam3b,fam3c,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,relig,chr,born,attend,q95,q96,income,party,partyln,ideo,hh1,hh3,ownrent,ql1,ql1a,qc1,raceos,religos,origraceos,usr,cregion,state,density,partysum,partyideo,child,recage,racethn,racethn2,racecmb,recage2,iphoneuse,hphoneuse,adults,parents,kids,ll,cp,wt1,utweight,weight
400115,2,4,91815,1,1,4,E,1,36,R,1, , ,1,3, ,2,2,2,1,2,6, , ,2, , ,1,1,0,1,3,1,2,2,2,1,3,1, ,2,1,3,3,2,1,1,2,2,2,2,2,1,3,1,1,3,2,1,1,1,1,1, , ,2,1, , ,1,1,2, , , ,15,11,98, ,2,3,4,4,4,3,2,1,2,2,2,1,1,2,3,4,2,1,1,2,1,3,2,2,2,3,3,2,1,2,2,2,2,1,2,1,2,2, , , , , , , , , , , , , , ,24,2, , , ,5,2,1,2, , , ,1, ,2,2, , ,2,2, ,2,3,1,2, , ,1,,,WHITE/BLACK,R,1,36,1,2,4,2,1,4,5,4,1,2,2,1,1,2,1,1,1.138495597657569,1.94,7.461538461538461
200794,2,2,91815,2,1,4,P,4,6,,2, , ,1,4, ,2,1,2,1,1,2,1,3,4, , ,1,3,0,2,3,2,3,1,3,2,2,1,1, ,1,1,2,2,2,2,1,4,1,2,1,1,3,3,1,3,2,3,3,3,3,1,3,1,2,1, , ,1,3, , , , ,18,12,18,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,2,3,1,4,1,1,2,2,2,5,1,2, , , , , , , , , , , , , , , , , ,31, , , ,2,1,1,1, , , ,3,12, , ,5,3,3,3,3,9,2,8,4,2, , ,2,,,WHITE HISPANIC,U,4,6,2,9,3,4,2,3,4,1,2,3,3,3,2,3,0,1,1.534390825668926,1.03,3.9615384615384617
205506,2,2,100515,1,1,5,P,4,6,,2,1, , , , ,2,2,2,1,2,1, ,2,1,0,1, , , ,0,3,1,1,2,3,3,3,2,1, ,2,2,2,1,2,1,3,3,2,3,2,1,3,3,2, ,3,3,1,3,3,9,3,1, , , , , ,1, , , , ,97,97,14,1,1,1,2,2,3, ,1,2,1,2,1,3,2,2,9, ,1, ,3,3,3,2,2,2,5,5,5,2, ,1,1,1,1,2, , , , , , , , , , , , , , , , , , ,31, ,2, , ,6,1,1, , , ,1,13, ,2,3,3,3,6,1, ,2,4,3,1, , ,2,,,WHITE AND MEXICAN,S,4,6,2,1,1,1,2,3,3,1,2,3,3,3,2,1,0,1,1.534390825668926,1.52,5.846153846153846
103273,1,1,92915,1,1,4,C,3,28,S,2,3, , , ,1, ,4,3,1,1,6, , ,2, , ,2,0,0,0,3,1,4,2,5,1,3,2, ,2,3,3,3,2,1,1,1,1,1,3,3,2,3,1,1, ,2,3,2,3,1,3, , , , , , , ,1,2,3, , ,16,16,16, ,4,4,4,4,2, ,1,2,2,1,1,2,2,1,2, ,1, ,2,1,2,2,3,2,2,1,2,1, ,2,2,2,4,1,2,1,2,2, , , , , , , , , , , , , , ,24,1, , , ,4,2,1,2, , , ,13, ,1,3, , ,4,3,1,3,4,4,1,1, , ,,,WHITE AND BLACK MIXED,S,3,28,2,1,3,0,1,4,5,4,1,2,2,3,1,2,1,1,0.41071215649162174,0.52,2
300048,1,3,91615,1,1,3,E,3,24,U,1, , ,2,3,2, ,3,2,1,2,3, , ,3, , ,2,1,0,1,3,1,4,2,4,1,1,1, ,1,1,1,1,3,1,1,1,1,1,1,2,1,3,2,2,3,2,1,1,1,1,1, , ,2,1, , ,1,1, , , , ,9,7,16, ,1,2,4,3,2,3,2,2,2,2,2,1,2,2,4,3,2,2,1,1,1,1,3,3,2,2,3,1,2, , , , , , , , , ,1,2,1,2,2,2, , ,1,1,1,1,2,2,36,3, , , ,4,2,5, , , , ,1, ,1,2, , ,1,2, ,1,6,3,1,1, , ,,,WEST INDIAN,U,3,24,5,2,4,3,3,4,5,5,2,2,2,3,1,3,1,1,0.9430901441931058,1.27,4.884615384615384
202413,2,2,92915,1,1,4,P,4,6,,2,3, , , , ,2,1,2,1,2,2,1,3,2, , ,2,0,0,0,3,1,1,1,1,3,3,2,1, ,1,1,2,3,1,1,1,1,1,2,2,1,3,3,2, ,1,1,1,1,2,3,3,1, , , , , ,2, , , , ,14,97,97,1,2,1,3,3,3, ,1,2,2,2,2,1,2,1,3, ,1, ,2,1,1,2,2,2,2,2,4,1, ,1,2,1,1,1,2,1,1,1, , , , , , , , , , , , , , ,43, , ,3, ,6,2,1, , , , ,10, , ,6,3,3,9,3,9,3,6,2,3, , ,2,,,PAKISTANI MIXED WITH TURKISH AND ENGLISH,S,4,6,5,9,3,4,4,1,1,1,2,3,3,2,2,2,0,1,1.534390825668926,1.77,6.8076923076923075
200781,2,2,91815,1,1,4,M,4,4,,1, ,1, , , ,2,1,3,1,1,6, , ,1,13,1, , , ,0,3,2,3,1,3,1,3,1, ,2,1,1,1,3,2,1,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,3, , ,2,3, , , , , , , , ,10,9,13, ,4,3,4,4,1,2,1,1,1,2,1,1,1,2, ,2,1,2,2,1,2,2,3,1, ,3,1,2, , , , , , , , , , ,2,1,2,2,2,2,2,2,1,1,1,1,2,2,21,3, , , ,3,2,5, , , , ,2, ,2,3, , ,2,2, ,5,3,2,1, , ,1,,,NATIVE AMERICAN,U,4,4,2,2,5,1,1,4,5,5,1,2,2,2,1,1,1,1,0.41071215649162174,0.58,2.2307692307692304
205894,2,2,100715,1,1,5,C,3,48,,5, , ,1,4, ,2,1,2,1,2,1, ,2,3, , ,1,2,0,2,3,1,1,1,3,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,3,3,1,1,1,6, , , ,2, , , , ,9,7,11,2,4,4,4,4,4,3,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,2,1,3,2,1,2,2,2, , , , , , , , , ,2,1,2,2,2,2, ,1,2,2, ,2,1,2,39, , , ,1,7,2,4, , , , ,1, ,2,5,3,2,7,2, ,1,5,2,1, , ,1,MIXED,,MIXED,S,3,48,3,2,4,3,3,4,5,4,2,2,2,2,2,3,1,1,0.683796174408227,0.61,2.346153846153846
400625,2,4,100215,1,1,5,P,4,6,S,1,1, , , , ,2,2,2,1,1,1, ,3,1,3,1, , , ,0,3,2,1,1,1,2,3,1,1, ,1,3,2,1,1,1,1,1,1,1,2,1,3,1,1, ,2,3,2,2,3,3,3,3, , , , , , , , , ,1,14,10,14,1,2,3,4,1,3, ,1,1,2,1,2,1,2,2,3, ,2, ,1,1,2,2,2,3,3,5,4,1, ,1,2,1,1,1,1,1,2,2, , , , , , , , , , , , , , ,47, ,1, , ,8,2,1, , , , ,9, , ,6, , ,9,2, ,3,3,2,1, , ,2,,,MIDDLE EASTERN,S,4,6,5,2,4,1,5,1,1,1,2,3,3,2,2,1,0,1,0.7270692716869356,0.7,2.692307692307692
200776,2,2,91815,2,1,4,C,3,48,,2, , ,1,4, ,2,1,2,1,1,1, ,2,4, , ,1,1,2,2,3,3,3,1,3,2,2,1,1, ,1,1,1,2,2,1,1,3,1,1,1,1,2,3,1,3,3,2,3,3,2,2,3,3,1,1, , ,1, , , , ,3,15,10,15,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,4,2,2,2,1,2,2,1,1,1,2, , , , , , , , , , , , , , , , , ,33, , , ,1,1,1,7, , , ,3,2, ,2,2, , ,6,4,9,1,6,2,2, , ,2,,,MEXICANO,S,3,48,4,9,9,4,2,3,4,5,2,3,3,2,2,3,0,1,1.534390825668926,1.23,4.730769230769231
102414,1,1,92815,1,1,4,C,2,20,U,2,1, , , ,1, ,1,2,1,1,1, ,3,1,1,1, , , ,0,3,2,2,1,2,1,3,2,1, ,1,1,1,1,2,2,2,2,2,1,1,1,3,3,1, ,4,2,2,2,3,2,3,3, , , , , , , , , ,3,13,10,15,2,2,3,3,4,3, ,1,1,1,1,2,1,2,1,3, ,1, ,1,1,1,2,2,3,2,2,4,2, ,2,2,2,2,1,2, , , , , , , , , , , , , , , , , ,21, ,1, , ,4,1,7, , , ,3,1, ,2,2, , ,3,2, ,4,3,2,1,1, , ,,,MEXICAN,U,2,20,4,2,5,1,1,3,4,5,1,2,2,2,2,1,1,1,0.683796174408227,0.8,3.076923076923077
103238,1,1,100115,2,1,5,P,4,6,U,4, ,2, , ,2, ,9,1,1,2,1, ,1,1,17,2, , , ,0,1,9,4,3,5,9,1,2,1, ,1,3,3,2,1,3,9,2,2,1,3,9,1,3,9,3, , ,1,1,1,9,1,1,2,1, , ,1, , , , , ,11,10,15,2,3,4,4,3,2,2,1,1,1,1,1,1,1,1, ,2,2,1,2,9,2,9,2,2, ,2,3,2, , , , , , , , , , ,2,2,2,2,1,1,2, ,1,2,1,1,1,1,40, ,1, , ,1,1,7, , , ,3,2, ,2,3, , ,10,9,9,2,5,3,1,2,1, ,,,MEXICAN,U,4,6,3,9,9,2,4,3,4,5,2,1,2,3,2,1,1,0,1.0284095856541249,3.22,9.846153846153847
106828,1,1,100315,2,1,5,P,4,6,U,3, ,2, , ,2, ,1,1,1,2,1, ,3,1,13,2, , , ,0,1,2,3,1,3,2,3,2,1, ,1,1,2,2,2,3,2,4,2,2,1,1,3,4,2,3,3,3,3,1,3,2,3,1,3,1, , ,1, , , , , ,99,18,98,3,4,3,3,4,3,3,1,2,2,2,2,2,2,2, ,3,2,2,2,3,3,1,2,4, ,2,4,2, , , , , , , , , , ,2,1,1,2,1,1,1,2,2,1,2,1,1,2,40, ,1, , ,1,1,7, , , ,3,2, ,9,2,2,2,10,1, ,2,4,3,1,1, , ,,,MEXICAN,U,4,6,2,1,1,1,4,3,4,5,2,2,2,3,2,1,1,1,0.683796174408227,1.1,4.230769230769231
205225,2,2,101015,2,1,5,P,4,41,,5, ,1, , , ,2,1,2,1,2,1, ,2,1,9,1, , , ,0,2,2,2,3,3,1,3,1,2, ,2,9,3,2,3,2,1,2,2,2,2,2,3,2,2,3, , ,1,1,1,1,1,1,2,1, , ,1, , , , , ,12,10,12,4,4,4,4,4,3,3,2,2,2,2,2,1,2,1, ,2,2,1,3,2,1,2,3,2, ,2,3,1, , , , , , , , , , ,2,2,2,2,2,2, , ,1,1,2,1,1,2,46, ,1, , ,2,1,4, , , ,3,2, ,2,4, , ,3,3,9,4,4,3,2, , ,2,MESTIZO,,MESTIZO,S,4,41,2,9,3,1,5,3,4,4,2,3,3,3,2,1,0,1,1.534390825668926,1.79,6.884615384615384
206146,2,2,100815,2,1,5,P,4,6,,4, , ,2,4, ,2,1,1,1,2,2,2,3,4, , ,2,2,0,2,3,2,2,3,3,1,3,1,1, ,1,1,1,3,2,2,2,4,2,2,2,3,3,4,1,3, , ,1,1,1,3,3,1,1,1, , ,1, , , , ,2,15,13,17,3,1,3,3,2,3,3,2,1,1,1,1,1,1,1,9,9,2,1,1,9,1,1,3,2,4,2,2,2,2, , , , , , , , , ,2,2,2,2,2,2, , ,2,2, ,1,2,1,33, , , ,1,1,1,7, , , ,3,2, ,2,2, , ,2,3,9,5,6,2,2, , ,2,,,LATINO,U,4,6,5,9,3,4,2,3,4,5,2,3,3,2,2,3,0,1,1.534390825668926,1.48,5.692307692307692
401017,2,4,100915,1,1,5,M,4,49,S,1, , ,2,3, ,2,1,2,1,1,1, ,3,3, , ,2,1,0,1,3,2,1,1,1,2,3,1,1, ,1,2,2,1,2,2,2,3,2,3,1,1,3,3,1,3,2,2,3,2,3,3,2,2,2,1, , ,1,1,2,3, , ,8,7,8,1,1,1,3,3,2,3,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,3,2,2,1,2,1,2, , , , , , , , , ,1,1,1,2,2,1, ,2,1,1,2,1,2,1,30, , , ,1,6,1,7, , , ,1,3, ,2,1,1,1,5,1, ,4,5,2,1, , ,2,,,LATINO,S,4,49,2,1,2,3,2,3,3,5,2,3,3,2,2,3,0,1,0.433598713513642,0.24,1
401031,2,4,100915,2,1,5,C,3,48,S,2, ,3, , , ,2,2,1,1,1,1, ,2,3, , ,0,2,1,2,1,1,3,1,2,1,2,1,1, ,1,1,1,3,2,2,2,2,2,2,2,2,4,3,1,3,4,1,2,3,3,3,2,3,3,1, , ,1, , , , , ,14,12,16,3,2,2,4,3,2,2,1,1,9,1,1,1,1,1, ,4,1,1,2,3,3,2,3,2, ,2,2,2, , , , , , , , , , ,1,2,2,2,1,1,1, ,1,1,1,1,1,1,44, , , ,1,4,1,7, , , ,3,2, ,1,2, , ,6,3,2,2,6,3,1, , ,2,,,LATINO,S,3,48,3,2,3,3,4,3,4,5,2,3,3,3,2,3,0,1,1.2399078105581594,1,3.846153846153846
400168,2,4,92815,2,1,4,P,4,6,U,1, , ,2,3, ,2,2,2,1,2,6, , ,3, , ,2,1,0,1,3,1,3,3,3,2,3,2, ,2,1,2,3,2,2,2,2,3,2,2,3,2,3,3,1,3, , ,1,1,3,1, , ,2,1, , ,1, , , , ,1,17,17,17, ,1,2,4,2,3,3,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,2,2,1,2,1,2,2,2, , , , , , , , , ,2,1,2,2,1,2, ,1,1,1,1,1,1,1,28,1, , , ,2,1,7, , , ,3,2, ,2,5, , ,2,9,9,2,5,2,2, , ,1,,,LATINA,U,4,6,5,9,9,3,1,3,4,5,1,2,2,2,1,3,1,1,2.1717521064560352,2.34,9
400174,2,4,92815,2,1,4,P,4,6,U,2, , ,1,4, ,2,4,3,1,2,2,2,3,3, , ,1,2,0,2,3,3,3,1,1,2,3,1,1, ,2,1,1,3,2,2,2,4,2,2,1,3,3,3,2,3,4,2,3,3,3,3,3,1,1,1, , ,1,3, , , , ,16,8,15,1,2,2,4,1,2,3,1,1,2,1,1,2,1,2,3,3,2,2,1,2,1,3,3,2,1,1,3,3,2, , , , , , , , , ,1,1,2,1,1,2, ,2,1,2,2,2,1,1,39, , , ,2,1,1,7, , , ,3,2, ,2,3,3,2,2,9,1,1,5,2,2, , ,2,,,LATINA,U,4,6,2,1,9,3,3,3,4,5,2,3,3,2,2,3,0,1,1.59017791640262,1.79,6.884615384615384
101134,1,1,91815,1,1,4,E,3,47,U,3, ,3, , ,2, ,2,1,1,2,1, ,2,5, , ,0,3,2,2,2,1,3,3,1,1,3,2,1, ,1,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1, , ,1,1,1,1,1,1,4,98, , , , , , , , ,14,12,17,1,4,4,4,1,3,1,2,2,2,2,2,2,2,2, ,2,2,2,1,3,1,3,2,2, ,2,4,2, , , , , , , , , , ,1,1,1,2,1,3,3,2,1,1,1,1,1,1,45, , , ,1,2,2,1,2, , , ,11,1,1,4, , ,7,1, ,1,8,4,2,1, , ,,NON DENOMINATIONAL,JEWISH,U,3,47,2,1,1,4,5,4,5,4,2,2,2,3,2,3,1,1,0.683796174408227,0.61,2.346153846153846
200557,2,2,91815,2,1,4,E,2,18,,2, , ,1,4, ,2,1,1,1,1,6, , ,3, , ,1,2,0,2,3,2,2,1,3,4,3,1, ,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,1,3,4,3,2,3,3,3, , ,1,1, , ,1,1, , , , ,17,14,18, ,2,3,3,2,3,3,1,1,1,1,1,1,1,1,3,2,2,2,1,3,1,1,1,3,2,2,3,2,2, , , , , , , , , ,1,1,1,2,2,1, ,1,1,1,2,1,2,1,37,1, , , ,3,1,1, , , ,3,2, ,1,1, , ,4,3,2,2,8,5,2, , ,2,,,HISPANIC WHITE,U,2,18,5,2,3,3,3,3,4,1,2,3,3,3,1,3,0,1,1.534390825668926,0.92,3.5384615384615383
